MODEL_ID,FEATURE_SEQ,SOURCE_COLUMN,ORIGINAL_VALUE,FEATURE_NAME,FEATURE_TYPE,COEFFICIENT,P_VALUE,SOURCE_FEATURE_P_VALUE,CI_LOWER,CI_UPPER,IS_REFERENCE,PCS_DATE
20260919_145500,1,,,(Intercept),INTERCEPT,-138719270.57162026,0.0,,-144405905.46932533,-133032635.67391518,N,2026-09-18
20260919_145500,2,body_type,Sedan,,ONEHOT,,,0.0,,,Y,2026-09-18
20260919_145500,3,body_type,Convertible,body_type=Convertible,ONEHOT,1054444.799047705,2.8449971335537576e-54,0.0,921446.9415873175,1187442.6565080925,N,2026-09-18
20260919_145500,4,body_type,Coupe,body_type=Coupe,ONEHOT,1576829.4938251143,0.0,0.0,1505151.6772411454,1648507.3104090833,N,2026-09-18
20260919_145500,5,body_type,Hatchback,body_type=Hatchback,ONEHOT,6231.432248092213,0.7819150656697739,0.0,-37889.38922336683,50352.253719551256,N,2026-09-18
20260919_145500,6,body_type,Pickup,body_type=Pickup,ONEHOT,-947078.7998799236,1.1629934673008884e-245,0.0,-1002088.3977671028,-892069.2019927443,N,2026-09-18
20260919_145500,7,body_type,SUV,body_type=SUV,ONEHOT,-134521.07592947365,1.6979743773891427e-13,0.0,-170279.2338642215,-98762.9179947258,N,2026-09-18
20260919_145500,8,body_type,Truck,body_type=Truck,ONEHOT,-835499.5000847443,6.436158101838147e-12,0.0,-1073799.8827443912,-597199.1174250974,N,2026-09-18
20260919_145500,9,body_type,Van,body_type=Van,ONEHOT,368361.2342041642,7.868955099798933e-21,0.0,291285.08943278715,445437.3789755412,N,2026-09-18
20260919_145500,10,body_type,Wagon,body_type=Wagon,ONEHOT,127825.27719880463,8.377405064896701e-05,0.0,64135.8687740617,191514.68562354756,N,2026-09-18
20260919_145500,11,color,White,,ONEHOT,,,4.932918446538367e-80,,,Y,2026-09-18
20260919_145500,12,color,Black,color=Black,ONEHOT,26063.321954155806,0.12034955243888365,4.932918446538367e-80,-6823.712699714168,58950.35660802578,N,2026-09-18
20260919_145500,13,color,Blue,color=Blue,ONEHOT,383649.161450427,8.650869439404498e-17,4.932918446538367e-80,293335.83497977356,473962.4879210805,N,2026-09-18
20260919_145500,14,color,Brown,color=Brown,ONEHOT,25068.824629083865,0.563944604493529,4.932918446538367e-80,-60088.68042874654,110226.32968691428,N,2026-09-18
20260919_145500,15,color,Cream,color=Cream,ONEHOT,622358.618775596,7.934868389893784e-06,4.932918446538367e-80,349316.8829353082,895400.3546158839,N,2026-09-18
20260919_145500,16,color,Golden,color=Golden,ONEHOT,105516.79321990139,0.32363446766430304,4.932918446538367e-80,-104017.02667142986,315050.61311123264,N,2026-09-18
20260919_145500,17,color,Green,color=Green,ONEHOT,777079.6209236246,4.9990587583088984e-26,4.932918446538367e-80,632846.8535979959,921312.3882492533,N,2026-09-18
20260919_145500,18,color,Grey Bronze,color=Grey Bronze,ONEHOT,22042.46827762462,0.1883793449268413,4.932918446538367e-80,-10801.894154897629,54886.83071014687,N,2026-09-18
20260919_145500,19,color,Light blue,color=Light blue,ONEHOT,834539.3558728377,6.748971304842776e-36,4.932918446538367e-80,703913.1214804512,965165.5902652242,N,2026-09-18
20260919_145500,20,color,Orange,color=Orange,ONEHOT,270869.0256290883,4.979172326680939e-07,4.932918446538367e-80,165279.2436999923,376458.80755818426,N,2026-09-18
20260919_145500,21,color,Other,color=Other,ONEHOT,281111.47619281337,0.00037376220377107703,4.932918446538367e-80,126265.6590677838,435957.29331784294,N,2026-09-18
20260919_145500,22,color,Pink,color=Pink,ONEHOT,1011006.7418406643,4.887832715070683e-05,4.932918446538367e-80,523099.18353005336,1498914.3001512752,N,2026-09-18
20260919_145500,23,color,Purple,color=Purple,ONEHOT,244689.3902166594,0.20440359828265256,4.932918446538367e-80,-133206.88701287488,622585.6674461938,N,2026-09-18
